"data.1.x","data.1.y","data.2.x","data.2.y","data.2.text","data.3.x","data.3.y","data.3.text","data.4.x","data.4.y","data.4.text","data.5.x","data.5.y","data.5.text","data.6.x","data.6.y","data.6.text","data.7.x","data.7.y","data.7.text","data.8.x","data.8.y","data.8.text","data.9.x","data.9.y","data.9.text","data.10.x","data.10.y","data.10.text"
"210","21115","27","630","Followers:  630 <br>Following:  27","62","3570","Followers:  3570 <br>Following:  62","31","23035","Followers:  23035 <br>Following:  31","0","112","Followers:  112 <br>Following:  0","2","6","Followers:  6 <br>Following:  2","34","21","Followers:  21 <br>Following:  34","7","149","Followers:  149 <br>Following:  7","22","44","Followers:  44 <br>Following:  22","4","7","Followers:  7 <br>Following:  4"
"","","17","2542","Followers:  2542 <br>Following:  17","7","6","Followers:  6 <br>Following:  7","266","2598","Followers:  2598 <br>Following:  266","1","31","Followers:  31 <br>Following:  1","4","30","Followers:  30 <br>Following:  4","0","23","Followers:  23 <br>Following:  0","6","16","Followers:  16 <br>Following:  6","20","99","Followers:  99 <br>Following:  20","3","7","Followers:  7 <br>Following:  3"
"","","166","1203","Followers:  1203 <br>Following:  166","42","2170","Followers:  2170 <br>Following:  42","51","176","Followers:  176 <br>Following:  51","18","29","Followers:  29 <br>Following:  18","0","9","Followers:  9 <br>Following:  0","0","8","Followers:  8 <br>Following:  0","11","30","Followers:  30 <br>Following:  11","18","1360","Followers:  1360 <br>Following:  18","","",""
"","","19","1280","Followers:  1280 <br>Following:  19","250","365","Followers:  365 <br>Following:  250","126","717","Followers:  717 <br>Following:  126","25","16","Followers:  16 <br>Following:  25","209","5338","Followers:  5338 <br>Following:  209","8","6","Followers:  6 <br>Following:  8","9","10","Followers:  10 <br>Following:  9","","","","","",""
"","","37","176","Followers:  176 <br>Following:  37","13","92","Followers:  92 <br>Following:  13","4","4","Followers:  4 <br>Following:  4","35","37","Followers:  37 <br>Following:  35","42","17094","Followers:  17094 <br>Following:  42","272","83","Followers:  83 <br>Following:  272","4","3","Followers:  3 <br>Following:  4","","","","","",""
"","","37","23689","Followers:  23689 <br>Following:  37","67","247","Followers:  247 <br>Following:  67","23","152","Followers:  152 <br>Following:  23","130","44","Followers:  44 <br>Following:  130","95","216","Followers:  216 <br>Following:  95","5","39","Followers:  39 <br>Following:  5","2","1","Followers:  1 <br>Following:  2","","","","","",""
"","","195","532","Followers:  532 <br>Following:  195","2","29513","Followers:  29513 <br>Following:  2","261","138","Followers:  138 <br>Following:  261","0","956","Followers:  956 <br>Following:  0","0","8406","Followers:  8406 <br>Following:  0","60","37","Followers:  37 <br>Following:  60","4","17","Followers:  17 <br>Following:  4","","","","","",""
"","","74","331","Followers:  331 <br>Following:  74","1","606","Followers:  606 <br>Following:  1","366","475","Followers:  475 <br>Following:  366","51","25","Followers:  25 <br>Following:  51","22","11","Followers:  11 <br>Following:  22","33","103","Followers:  103 <br>Following:  33","","","","","","","","",""
"","","10","1649","Followers:  1649 <br>Following:  10","90","327","Followers:  327 <br>Following:  90","102","883","Followers:  883 <br>Following:  102","9","35","Followers:  35 <br>Following:  9","4","263","Followers:  263 <br>Following:  4","9","29","Followers:  29 <br>Following:  9","","","","","","","","",""
"","","34","630","Followers:  630 <br>Following:  34","","","","10","1016","Followers:  1016 <br>Following:  10","179","262","Followers:  262 <br>Following:  179","5","963","Followers:  963 <br>Following:  5","","","","","","","","","","","",""
"","","35","76","Followers:  76 <br>Following:  35","","","","25","108","Followers:  108 <br>Following:  25","0","288","Followers:  288 <br>Following:  0","147","15518","Followers:  15518 <br>Following:  147","","","","","","","","","","","",""
"","","166","2330","Followers:  2330 <br>Following:  166","","","","1","891","Followers:  891 <br>Following:  1","446","99","Followers:  99 <br>Following:  446","0","1","Followers:  1 <br>Following:  0","","","","","","","","","","","",""
"","","54","1055","Followers:  1055 <br>Following:  54","","","","23","253","Followers:  253 <br>Following:  23","48","60","Followers:  60 <br>Following:  48","21","78","Followers:  78 <br>Following:  21","","","","","","","","","","","",""
"","","17","181","Followers:  181 <br>Following:  17","","","","105","461","Followers:  461 <br>Following:  105","30","115","Followers:  115 <br>Following:  30","0","85","Followers:  85 <br>Following:  0","","","","","","","","","","","",""
"","","39","649","Followers:  649 <br>Following:  39","","","","88","6521","Followers:  6521 <br>Following:  88","22","893","Followers:  893 <br>Following:  22","1","1","Followers:  1 <br>Following:  1","","","","","","","","","","","",""
"","","0","1463","Followers:  1463 <br>Following:  0","","","","1","233","Followers:  233 <br>Following:  1","","","","","","","","","","","","","","","","","",""
"","","0","1866","Followers:  1866 <br>Following:  0","","","","94","66265","Followers:  66265 <br>Following:  94","","","","","","","","","","","","","","","","","",""
"","","279","218","Followers:  218 <br>Following:  279","","","","7","1224","Followers:  1224 <br>Following:  7","","","","","","","","","","","","","","","","","",""
"","","1089","208","Followers:  208 <br>Following:  1089","","","","8","24","Followers:  24 <br>Following:  8","","","","","","","","","","","","","","","","","",""
"","","15","416","Followers:  416 <br>Following:  15","","","","","","","","","","","","","","","","","","","","","","","",""
"","","31","264","Followers:  264 <br>Following:  31","","","","","","","","","","","","","","","","","","","","","","","",""
"","","39","608","Followers:  608 <br>Following:  39","","","","","","","","","","","","","","","","","","","","","","","",""
"","","34","192","Followers:  192 <br>Following:  34","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6","161","Followers:  161 <br>Following:  6","","","","","","","","","","","","","","","","","","","","","","","",""
"","","20","13776","Followers:  13776 <br>Following:  20","","","","","","","","","","","","","","","","","","","","","","","",""
"","","16","3066","Followers:  3066 <br>Following:  16","","","","","","","","","","","","","","","","","","","","","","","",""
"","","28","110","Followers:  110 <br>Following:  28","","","","","","","","","","","","","","","","","","","","","","","",""
"","","101","628","Followers:  628 <br>Following:  101","","","","","","","","","","","","","","","","","","","","","","","",""
"","","119","737","Followers:  737 <br>Following:  119","","","","","","","","","","","","","","","","","","","","","","","",""
"","","5","14","Followers:  14 <br>Following:  5","","","","","","","","","","","","","","","","","","","","","","","",""
"","","29","49","Followers:  49 <br>Following:  29","","","","","","","","","","","","","","","","","","","","","","","",""
