"data.1.x","data.1.y","data.2.x","data.2.y","data.2.text","data.3.x","data.3.y","data.3.text","data.4.x","data.4.y","data.4.text","data.5.x","data.5.y","data.5.text","data.6.x","data.6.y","data.6.text","data.7.x","data.7.y","data.7.text","data.8.x","data.8.y","data.8.text","data.9.x","data.9.y","data.9.text","data.10.x","data.10.y","data.10.text"
"107","21115","165","630","Followers:  630 <br>Repositories:  165 <br>Date Created: 2008","448","3570","Followers:  3570 <br>Repositories:  448 <br>Date Created: 2009","277","23035","Followers:  23035 <br>Repositories:  277 <br>Date Created: 2010","41","112","Followers:  112 <br>Repositories:  41 <br>Date Created: 2011","2","6","Followers:  6 <br>Repositories:  2 <br>Date Created: 2012","13","21","Followers:  21 <br>Repositories:  13 <br>Date Created: 2013","19","149","Followers:  149 <br>Repositories:  19 <br>Date Created: 2014","23","44","Followers:  44 <br>Repositories:  23 <br>Date Created: 2015","27","7","Followers:  7 <br>Repositories:  27 <br>Date Created: 2016"
"","","176","2542","Followers:  2542 <br>Repositories:  176 <br>Date Created: 2008","0","6","Followers:  6 <br>Repositories:  0 <br>Date Created: 2009","21","2598","Followers:  2598 <br>Repositories:  21 <br>Date Created: 2010","6","31","Followers:  31 <br>Repositories:  6 <br>Date Created: 2011","17","30","Followers:  30 <br>Repositories:  17 <br>Date Created: 2012","1","23","Followers:  23 <br>Repositories:  1 <br>Date Created: 2013","4","16","Followers:  16 <br>Repositories:  4 <br>Date Created: 2014","21","99","Followers:  99 <br>Repositories:  21 <br>Date Created: 2015","22","7","Followers:  7 <br>Repositories:  22 <br>Date Created: 2016"
"","","168","1203","Followers:  1203 <br>Repositories:  168 <br>Date Created: 2008","105","2170","Followers:  2170 <br>Repositories:  105 <br>Date Created: 2009","79","176","Followers:  176 <br>Repositories:  79 <br>Date Created: 2010","47","29","Followers:  29 <br>Repositories:  47 <br>Date Created: 2011","17","9","Followers:  9 <br>Repositories:  17 <br>Date Created: 2012","5","8","Followers:  8 <br>Repositories:  5 <br>Date Created: 2013","33","30","Followers:  30 <br>Repositories:  33 <br>Date Created: 2014","71","1360","Followers:  1360 <br>Repositories:  71 <br>Date Created: 2015","","",""
"","","157","1280","Followers:  1280 <br>Repositories:  157 <br>Date Created: 2008","131","365","Followers:  365 <br>Repositories:  131 <br>Date Created: 2009","122","717","Followers:  717 <br>Repositories:  122 <br>Date Created: 2010","54","16","Followers:  16 <br>Repositories:  54 <br>Date Created: 2011","128","5338","Followers:  5338 <br>Repositories:  128 <br>Date Created: 2012","0","6","Followers:  6 <br>Repositories:  0 <br>Date Created: 2013","3","10","Followers:  10 <br>Repositories:  3 <br>Date Created: 2014","","","","","",""
"","","26","176","Followers:  176 <br>Repositories:  26 <br>Date Created: 2008","50","92","Followers:  92 <br>Repositories:  50 <br>Date Created: 2009","22","4","Followers:  4 <br>Repositories:  22 <br>Date Created: 2010","72","37","Followers:  37 <br>Repositories:  72 <br>Date Created: 2011","609","17094","Followers:  17094 <br>Repositories:  609 <br>Date Created: 2012","0","83","Followers:  83 <br>Repositories:  0 <br>Date Created: 2013","7","3","Followers:  3 <br>Repositories:  7 <br>Date Created: 2014","","","","","",""
"","","38","23689","Followers:  23689 <br>Repositories:  38 <br>Date Created: 2008","51","247","Followers:  247 <br>Repositories:  51 <br>Date Created: 2009","53","152","Followers:  152 <br>Repositories:  53 <br>Date Created: 2010","25","44","Followers:  44 <br>Repositories:  25 <br>Date Created: 2011","227","216","Followers:  216 <br>Repositories:  227 <br>Date Created: 2012","14","39","Followers:  39 <br>Repositories:  14 <br>Date Created: 2013","0","1","Followers:  1 <br>Repositories:  0 <br>Date Created: 2014","","","","","",""
"","","130","532","Followers:  532 <br>Repositories:  130 <br>Date Created: 2008","56","29513","Followers:  29513 <br>Repositories:  56 <br>Date Created: 2009","62","138","Followers:  138 <br>Repositories:  62 <br>Date Created: 2010","87","956","Followers:  956 <br>Repositories:  87 <br>Date Created: 2011","75","8406","Followers:  8406 <br>Repositories:  75 <br>Date Created: 2012","57","37","Followers:  37 <br>Repositories:  57 <br>Date Created: 2013","12","17","Followers:  17 <br>Repositories:  12 <br>Date Created: 2014","","","","","",""
"","","155","331","Followers:  331 <br>Repositories:  155 <br>Date Created: 2008","36","606","Followers:  606 <br>Repositories:  36 <br>Date Created: 2009","140","475","Followers:  475 <br>Repositories:  140 <br>Date Created: 2010","42","25","Followers:  25 <br>Repositories:  42 <br>Date Created: 2011","21","11","Followers:  11 <br>Repositories:  21 <br>Date Created: 2012","43","103","Followers:  103 <br>Repositories:  43 <br>Date Created: 2013","","","","","","","","",""
"","","630","1649","Followers:  1649 <br>Repositories:  630 <br>Date Created: 2008","70","327","Followers:  327 <br>Repositories:  70 <br>Date Created: 2009","36","883","Followers:  883 <br>Repositories:  36 <br>Date Created: 2010","35","35","Followers:  35 <br>Repositories:  35 <br>Date Created: 2011","297","263","Followers:  263 <br>Repositories:  297 <br>Date Created: 2012","117","29","Followers:  29 <br>Repositories:  117 <br>Date Created: 2013","","","","","","","","",""
"","","53","630","Followers:  630 <br>Repositories:  53 <br>Date Created: 2008","","","","71","1016","Followers:  1016 <br>Repositories:  71 <br>Date Created: 2010","203","262","Followers:  262 <br>Repositories:  203 <br>Date Created: 2011","83","963","Followers:  963 <br>Repositories:  83 <br>Date Created: 2012","","","","","","","","","","","",""
"","","24","76","Followers:  76 <br>Repositories:  24 <br>Date Created: 2008","","","","40","108","Followers:  108 <br>Repositories:  40 <br>Date Created: 2010","61","288","Followers:  288 <br>Repositories:  61 <br>Date Created: 2011","89","15518","Followers:  15518 <br>Repositories:  89 <br>Date Created: 2012","","","","","","","","","","","",""
"","","45","2330","Followers:  2330 <br>Repositories:  45 <br>Date Created: 2008","","","","41","891","Followers:  891 <br>Repositories:  41 <br>Date Created: 2010","1223","99","Followers:  99 <br>Repositories:  1223 <br>Date Created: 2011","0","1","Followers:  1 <br>Repositories:  0 <br>Date Created: 2012","","","","","","","","","","","",""
"","","47","1055","Followers:  1055 <br>Repositories:  47 <br>Date Created: 2008","","","","106","253","Followers:  253 <br>Repositories:  106 <br>Date Created: 2010","38","60","Followers:  60 <br>Repositories:  38 <br>Date Created: 2011","94","78","Followers:  78 <br>Repositories:  94 <br>Date Created: 2012","","","","","","","","","","","",""
"","","28","181","Followers:  181 <br>Repositories:  28 <br>Date Created: 2008","","","","408","461","Followers:  461 <br>Repositories:  408 <br>Date Created: 2010","19","115","Followers:  115 <br>Repositories:  19 <br>Date Created: 2011","28","85","Followers:  85 <br>Repositories:  28 <br>Date Created: 2012","","","","","","","","","","","",""
"","","228","649","Followers:  649 <br>Repositories:  228 <br>Date Created: 2008","","","","80","6521","Followers:  6521 <br>Repositories:  80 <br>Date Created: 2010","122","893","Followers:  893 <br>Repositories:  122 <br>Date Created: 2011","1","1","Followers:  1 <br>Repositories:  1 <br>Date Created: 2012","","","","","","","","","","","",""
"","","112","1463","Followers:  1463 <br>Repositories:  112 <br>Date Created: 2008","","","","181","233","Followers:  233 <br>Repositories:  181 <br>Date Created: 2010","","","","","","","","","","","","","","","","","",""
"","","100","1866","Followers:  1866 <br>Repositories:  100 <br>Date Created: 2008","","","","164","66265","Followers:  66265 <br>Repositories:  164 <br>Date Created: 2010","","","","","","","","","","","","","","","","","",""
"","","1226","218","Followers:  218 <br>Repositories:  1226 <br>Date Created: 2008","","","","185","1224","Followers:  1224 <br>Repositories:  185 <br>Date Created: 2010","","","","","","","","","","","","","","","","","",""
"","","27","208","Followers:  208 <br>Repositories:  27 <br>Date Created: 2008","","","","2","24","Followers:  24 <br>Repositories:  2 <br>Date Created: 2010","","","","","","","","","","","","","","","","","",""
"","","5","416","Followers:  416 <br>Repositories:  5 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","34","264","Followers:  264 <br>Repositories:  34 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","166","608","Followers:  608 <br>Repositories:  166 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","123","192","Followers:  192 <br>Repositories:  123 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","281","161","Followers:  161 <br>Repositories:  281 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","83","13776","Followers:  13776 <br>Repositories:  83 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","81","3066","Followers:  3066 <br>Repositories:  81 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","22","110","Followers:  110 <br>Repositories:  22 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","125","628","Followers:  628 <br>Repositories:  125 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","125","737","Followers:  737 <br>Repositories:  125 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","39","14","Followers:  14 <br>Repositories:  39 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","42","49","Followers:  49 <br>Repositories:  42 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","139","5606","Followers:  5606 <br>Repositories:  139 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
"","","296","961","Followers:  961 <br>Repositories:  296 <br>Date Created: 2008","","","","","","","","","","","","","","","","","","","","","","","",""
